deck_name,deck_code,watermark,is_custom_deck,draw_before,number_to_play,card_text
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,____ 2012.
Ridiculously Stupid,RIDICSTUP,RS,t,0,2,____ and ____ are the new hot couple.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,____ Game of the Year Edition.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,____ ruined many people&#39;s childhood.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,Dustin Browder demands more ____ in StarCraft&reg;.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,Grand Theft Auto&trade;: ____.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,I never thought ____ would be so enjoyable.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,I whip my ____ back and forth.
Ridiculously Stupid,RIDICSTUP,RS,t,0,2,I wouldn&#39;t fuck ____ with ____&#39;s dick.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,I&#39;ve got the whole world in my ____.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,In a news conference&#44; Obama pulled out ____&#44; to everyone&#39;s surprise.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,In his next movie&#44; Will Smith saves the world from ____.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,In his second term&#44; Obama will rid America of ____.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,In the future&#44; ____ will fuel our cars.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,In the next episode&#44; SpongeBob gets introduced to ____. 
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,In the next Punch Out!!&#44; ____ will be the secret final boss.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,Instead of playing Cards Against Humanity&#44; you could be ____.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,Justin Beiber&#39;s new song is all about ____.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,Keith Richards enjoys ____ on his food.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,Lady Gaga has revealed her new dress will be made of ____.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,My life for ____!
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,Nights filled with ____.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,One does not simply walk into ____.
Ridiculously Stupid,RIDICSTUP,RS,t,2,3,Plan a three course meal.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,Praise ____!
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,Tastes like ____.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,The lion&#44; the witch&#44; and ____.
Ridiculously Stupid,RIDICSTUP,RS,t,0,2,The new fad diet is all about making people do ____ and eat ____.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,The next Assassin&#39;s Creed game will take place in ____.
Ridiculously Stupid,RIDICSTUP,RS,t,0,2,The next pokemon will combine ____ and ____.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,The victim was found with ____.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,Welcome to my secret lair on ____.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,What can you always find in between the couch cushions?
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,What is Curious George so curious about?
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,What is Japan&#39;s national pastime?
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,What is literally worse than Hitler?
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,What is love without ____?
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,What is the answer to life&#39;s question?
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,What is the next big sideshow attraction?
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,What is the next great Kickstarter project?
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,What was going through Osama Bin Laden&#39;s head before he died?
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,What will Xyzzy take over the world with?
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,When North Korea gets ____&#44; it will be the end of the world.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,When short on money&#44; you can always ____.
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,Who is GLaDOS&#39;s next test subject?
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,Who let the dogs out?
Ridiculously Stupid,RIDICSTUP,RS,t,0,1,Who needs college when you have ____.
